project_id,quality_at_entry,outcome_success,region,sector,approval_year
P071144,3.0,1.0,Eastern and Southern Africa,"Macroeconomics, Trade and Investment",2004.0
P071160,4.0,1.0,South Asia,"Health, Nutrition & Population",2007.0
P071170,3.0,0.0,Middle East and North Africa,Water,2005.0
P071250,4.0,1.0,South Asia,"Urban, Resilience and Land",2010.0
P071259,4.0,0.0,Eastern and Southern Africa,Water,2007.0
P071285,4.0,1.0,South Asia,Water,2004.0
P071296,2.0,0.0,East Asia and Pacific,"Urban, Resilience and Land",2005.0
P071340,3.0,0.0,Western and Central Africa,"Urban, Resilience and Land",2007.0
P071391,2.0,0.0,Western and Central Africa,Water,2006.0
P071443,4.0,1.0,Western and Central Africa,"Macroeconomics, Trade and Investment",2003.0
P071465,4.0,1.0,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy",2006.0
P071579,3.0,0.0,Western and Central Africa,"Environment, Natural Resources & the Blue Economy",2008.0
P071631,4.0,1.0,Western and Central Africa,"Health, Nutrition & Population",2008.0
P071794,5.0,1.0,South Asia,Energy & Extractives,2002.0
P071985,4.0,0.0,Eastern and Southern Africa,Transport,2004.0
P072030,4.0,0.0,Western and Central Africa,Water,2007.0
P072202,3.0,1.0,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy",2007.0
P072226,3.0,0.0,Western and Central Africa,"Health, Nutrition & Population",2002.0
P072644,3.0,1.0,Western and Central Africa,Transport,2008.0
P072721,4.0,1.0,East Asia and Pacific,Energy & Extractives,2005.0
P072960,5.0,1.0,Europe and Central Asia,Governance,2003.0
P073089,2.0,0.0,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy",2001.0
P073206,4.0,1.0,East Asia and Pacific,"Urban, Resilience and Land",2005.0
P073322,4.0,1.0,Eastern and Southern Africa,Energy & Extractives,2007.0
P073361,4.0,1.0,East Asia and Pacific,"Urban, Resilience and Land",2006.0
P073370,4.0,1.0,South Asia,Water,2005.0
P073458,4.0,1.0,South Asia,"Finance, Competitiveness and Innovation",2007.0
P073488,4.0,1.0,East Asia and Pacific,"Urban, Resilience and Land",2003.0
P073689,2.0,0.0,Eastern and Southern Africa,Transport,2003.0
P073763,3.0,0.0,East Asia and Pacific,Water,2005.0
P073821,4.0,1.0,Eastern and Southern Africa,"Health, Nutrition & Population",2004.0
P073886,4.0,1.0,South Asia,Agriculture and Food,2010.0
P073977,3.0,1.0,Middle East and North Africa,Water,2005.0
P074011,4.0,1.0,Eastern and Southern Africa,Energy & Extractives,2008.0
P074020,5.0,1.0,Eastern and Southern Africa,Governance,2004.0
P074027,3.0,0.0,East Asia and Pacific,"Health, Nutrition & Population",2006.0
P074030,3.0,1.0,Western and Central Africa,Transport,2003.0
P074086,3.0,0.0,Eastern and Southern Africa,Agriculture and Food,2007.0
P074091,4.0,1.0,Eastern and Southern Africa,"Health, Nutrition & Population",2010.0
P074106,3.0,0.0,Eastern and Southern Africa,Agriculture and Food,2007.0
P074132,4.0,0.0,Western and Central Africa,Education,2007.0
P074191,5.0,1.0,Western and Central Africa,Energy & Extractives,2008.0
P074235,3.0,0.0,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy",2004.0
P074288,4.0,1.0,Western and Central Africa,Energy & Extractives,2003.0
P074595,4.0,1.0,Middle East and North Africa,Water,2005.0
P074688,5.0,1.0,East Asia and Pacific,Energy & Extractives,2005.0
P074726,4.0,1.0,Latin America and Caribbean,Transport,2003.0
P074881,5.0,1.0,Europe and Central Asia,"Finance, Competitiveness and Innovation",2004.0
P075058,5.0,1.0,South Asia,"Health, Nutrition & Population",2005.0
P075173,2.0,0.0,East Asia and Pacific,Transport,2004.0
P075207,4.0,1.0,Europe and Central Asia,Transport,2004.0
P075231,2.0,0.0,Europe and Central Asia,Social Protection & Jobs,2006.0
P075343,4.0,1.0,Europe and Central Asia,Energy & Extractives,2004.0
P075399,6.0,1.0,East Asia and Pacific,Governance,2003.0
P075407,5.0,1.0,East Asia and Pacific,Transport,2006.0
P075523,4.0,1.0,East Asia and Pacific,Transport,2004.0
P075531,4.0,1.0,East Asia and Pacific,Energy & Extractives,2006.0
P075534,4.0,1.0,Middle East and North Africa,"Environment, Natural Resources & the Blue Economy",2007.0
P075566,4.0,1.0,Eastern and Southern Africa,Transport,2007.0
P075613,4.0,1.0,East Asia and Pacific,Transport,2007.0
P075732,3.0,0.0,East Asia and Pacific,"Urban, Resilience and Land",2006.0
P075809,3.0,0.0,Middle East and North Africa,Education,2006.0
P075964,2.0,0.0,Western and Central Africa,Education,2005.0
P075979,5.0,1.0,Eastern and Southern Africa,"Health, Nutrition & Population",2004.0
P075994,3.0,0.0,Western and Central Africa,Energy & Extractives,2005.0
P076185,3.0,0.0,Middle East and North Africa,Education,2005.0
P076338,4.0,1.0,Europe and Central Asia,Poverty and Equity,2004.0
P076735,4.0,1.0,Eastern and Southern Africa,Water,2004.0
P076872,5.0,1.0,South Asia,Governance,2006.0
P077012,5.0,1.0,East Asia and Pacific,"Urban, Resilience and Land",2003.0
P077175,4.0,1.0,East Asia and Pacific,Energy & Extractives,2006.0
P077287,4.0,1.0,East Asia and Pacific,Water,2006.0
P077317,3.0,1.0,Western and Central Africa,Energy & Extractives,2006.0
P077328,3.0,0.0,Europe and Central Asia,Transport,2005.0
P077452,3.0,1.0,Eastern and Southern Africa,Energy & Extractives,2008.0
P077717,5.0,1.0,Latin America and Caribbean,Energy & Extractives,2006.0
P077752,4.0,1.0,East Asia and Pacific,Water,2007.0
P077756,4.0,1.0,Latin America and Caribbean,"Health, Nutrition & Population",2006.0
P077778,2.0,0.0,East Asia and Pacific,"Macroeconomics, Trade and Investment",2003.0
P077903,4.0,1.0,Western and Central Africa,Education,2006.0
P078070,3.0,1.0,East Asia and Pacific,"Urban, Resilience and Land",2005.0
P078091,4.0,1.0,Western and Central Africa,Energy & Extractives,2008.0
P078113,5.0,1.0,East Asia and Pacific,Education,2004.0
P078301,4.0,1.0,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy",2006.0
P078342,3.0,0.0,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy",2007.0
P078359,5.0,1.0,Europe and Central Asia,"Urban, Resilience and Land",2005.0
P078382,4.0,1.0,Eastern and Southern Africa,"Urban, Resilience and Land",2008.0
P078383,4.0,1.0,Western and Central Africa,Energy & Extractives,2004.0
P078389,4.0,1.0,Western and Central Africa,Transport,2006.0
P078538,5.0,1.0,South Asia,"Health, Nutrition & Population",2007.0
P078539,5.0,1.0,South Asia,"Health, Nutrition & Population",2007.0
P078627,3.0,0.0,Eastern and Southern Africa,Governance,2004.0
P078643,3.0,0.0,Eastern and Southern Africa,Transport,2007.0
P078707,4.0,0.0,South Asia,Energy & Extractives,2004.0
P078813,3.0,0.0,Latin America and Caribbean,Transport,2006.0
P078832,3.0,1.0,South Asia,Governance,2006.0
P078933,2.0,0.0,Europe and Central Asia,Education,2006.0
P078971,4.0,1.0,Europe and Central Asia,"Health, Nutrition & Population",2005.0
P078978,4.0,1.0,Europe and Central Asia,"Health, Nutrition & Population",2006.0
P078997,5.0,1.0,South Asia,Agriculture and Food,2004.0
P079027,4.0,1.0,Europe and Central Asia,"Urban, Resilience and Land",2006.0
P079032,5.0,1.0,Europe and Central Asia,"Urban, Resilience and Land",2008.0
P079140,3.0,0.0,East Asia and Pacific,Agriculture and Food,2008.0
P079165,4.0,1.0,Latin America and Caribbean,Agriculture and Food,2007.0
P079314,4.0,1.0,Europe and Central Asia,Social Protection & Jobs,2004.0
P079344,3.0,0.0,East Asia and Pacific,Transport,2006.0
P079414,4.0,1.0,Eastern and Southern Africa,Transport,2008.0
P079628,3.0,1.0,East Asia and Pacific,"Health, Nutrition & Population",2005.0
P079633,3.0,0.0,Western and Central Africa,Energy & Extractives,2005.0
P079675,3.0,1.0,South Asia,"Urban, Resilience and Land",2006.0
P079708,5.0,1.0,South Asia,Agriculture and Food,2006.0
P079734,3.0,0.0,Eastern and Southern Africa,Transport,2006.0
P079736,3.0,0.0,Western and Central Africa,Transport,2007.0
P079749,4.0,1.0,Western and Central Africa,Transport,2008.0
P079906,3.0,0.0,East Asia and Pacific,Transport,2007.0
P079935,4.0,1.0,East Asia and Pacific,Transport,2008.0
P080228,3.0,1.0,Middle East and North Africa,"Health, Nutrition & Population",2010.0
P080935,2.0,0.0,Western and Central Africa,"Macroeconomics, Trade and Investment",2005.0
P081297,3.0,0.0,Western and Central Africa,Agriculture and Food,2006.0
P081348,4.0,0.0,East Asia and Pacific,Water,2006.0
P081436,2.0,0.0,Latin America and Caribbean,"Urban, Resilience and Land",2006.0
P081505,3.0,0.0,Middle East and North Africa,Transport,2004.0
P081567,3.0,0.0,Western and Central Africa,Agriculture and Food,2006.0
P081704,4.0,1.0,Western and Central Africa,Agriculture and Food,2006.0
P081712,4.0,1.0,Eastern and Southern Africa,"Health, Nutrition & Population",2007.0
P081771,3.0,1.0,South Asia,"Finance, Competitiveness and Innovation",2005.0
P081776,3.0,1.0,East Asia and Pacific,Water,2007.0
P081823,3.0,0.0,Middle East and North Africa,"Urban, Resilience and Land",2007.0
P081880,3.0,1.0,Europe and Central Asia,"Urban, Resilience and Land",2005.0
P082026,4.0,1.0,Latin America and Caribbean,Transport,2007.0
P082037,4.0,1.0,Latin America and Caribbean,Social Protection & Jobs,2004.0
P082144,5.0,1.0,East Asia and Pacific,Social Protection & Jobs,2010.0
P082223,4.0,1.0,Europe and Central Asia,"Health, Nutrition & Population",2004.0
P082239,4.0,1.0,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy",2005.0
P082242,4.0,0.0,Latin America and Caribbean,Social Protection & Jobs,2006.0
P082295,4.0,1.0,East Asia and Pacific,Water,2007.0
P082308,5.0,1.0,Eastern and Southern Africa,Other,2004.0
P082337,3.0,1.0,Europe and Central Asia,Energy & Extractives,2006.0
P082373,3.0,1.0,Western and Central Africa,Water,2004.0
P082392,2.0,0.0,Latin America and Caribbean,Governance,2006.0
P082419,4.0,1.0,Latin America and Caribbean,Water,2008.0
P082429,2.0,0.0,Latin America and Caribbean,"Urban, Resilience and Land",2005.0
P082466,4.0,1.0,Latin America and Caribbean,Transport,2004.0
P082492,3.0,0.0,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy",2006.0
P082502,3.0,0.0,Western and Central Africa,Energy & Extractives,2005.0
P082520,2.0,0.0,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy",2006.0
P082604,5.0,1.0,East Asia and Pacific,"Health, Nutrition & Population",2005.0
P082615,4.0,1.0,Eastern and Southern Africa,Transport,2004.0
P082651,2.0,0.0,Latin America and Caribbean,Agriculture and Food,2007.0
P082672,5.0,1.0,East Asia and Pacific,"Health, Nutrition & Population",2008.0
P082817,4.0,1.0,Western and Central Africa,"Urban, Resilience and Land",2008.0
P082888,2.0,1.0,Western and Central Africa,Governance,2007.0
P082908,3.0,1.0,Latin America and Caribbean,Education,2008.0
P082916,4.0,0.0,Europe and Central Asia,Governance,2005.0
P082952,3.0,1.0,Middle East and North Africa,Education,2005.0
P082969,4.0,1.0,Western and Central Africa,"Urban, Resilience and Land",2007.0
P082977,3.0,1.0,South Asia,"Finance, Competitiveness and Innovation",2004.0
P082993,4.0,1.0,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy",2006.0
P083045,3.0,0.0,Latin America and Caribbean,Agriculture and Food,2006.0
P083051,6.0,1.0,Latin America and Caribbean,Agriculture and Food,2005.0
P083108,3.0,0.0,Europe and Central Asia,Transport,2008.0
P083110,4.0,1.0,Europe and Central Asia,Transport,2007.0
P083126,5.0,1.0,Europe and Central Asia,"Urban, Resilience and Land",2005.0
P083131,5.0,1.0,Eastern and Southern Africa,Energy & Extractives,2005.0
P083187,5.0,1.0,South Asia,Water,2007.0
P083235,4.0,1.0,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy",2004.0
P083250,3.0,1.0,Eastern and Southern Africa,"Finance, Competitiveness and Innovation",2005.0
P083322,4.0,1.0,East Asia and Pacific,"Urban, Resilience and Land",2007.0
P083325,4.0,1.0,Eastern and Southern Africa,Transport,2007.0
P083351,3.0,1.0,Eastern and Southern Africa,"Macroeconomics, Trade and Investment",2006.0
P083581,3.0,1.0,East Asia and Pacific,Transport,2008.0
P083588,3.0,1.0,East Asia and Pacific,Transport,2007.0
P083593,6.0,1.0,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy",2006.0
P083609,4.0,1.0,Western and Central Africa,Agriculture and Food,2006.0
P083702,3.0,1.0,Europe and Central Asia,Energy & Extractives,2005.0
P083742,3.0,0.0,East Asia and Pacific,Agriculture and Food,2007.0
P083751,2.0,1.0,Western and Central Africa,Transport,2006.0
P083767,5.0,1.0,Middle East and North Africa,Education,2005.0
P083780,3.0,1.0,South Asia,"Urban, Resilience and Land",2006.0
P083809,3.0,0.0,Eastern and Southern Africa,"Finance, Competitiveness and Innovation",2005.0
P083813,3.0,0.0,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy",2014.0
P083904,4.0,1.0,Latin America and Caribbean,Governance,2010.0
P083908,4.0,1.0,South Asia,Energy & Extractives,2004.0
P083923,3.0,1.0,South Asia,Transport,2005.0
P083929,4.0,1.0,South Asia,"Urban, Resilience and Land",2006.0
P083952,5.0,1.0,Latin America and Caribbean,Transport,2006.0
P083965,3.0,1.0,Latin America and Caribbean,Education,2008.0
P083979,4.0,1.0,Latin America and Caribbean,"Urban, Resilience and Land",2007.0
P083997,2.0,0.0,Latin America and Caribbean,Agriculture and Food,2008.0
P084002,4.0,1.0,Western and Central Africa,Water,2007.0
P084022,5.0,1.0,Western and Central Africa,"Urban, Resilience and Land",2007.0
P084027,3.0,1.0,Western and Central Africa,"Urban, Resilience and Land",2007.0
P084035,3.0,1.0,Europe and Central Asia,Water,2006.0
P084078,4.0,1.0,South Asia,Agriculture and Food,2008.0
P084148,4.0,1.0,Eastern and Southern Africa,Agriculture and Food,2006.0
P084160,2.0,0.0,Western and Central Africa,Governance,2008.0
P084302,3.0,1.0,South Asia,Water,2008.0
P084317,4.0,1.0,Western and Central Africa,Education,2005.0
P084404,3.0,1.0,Eastern and Southern Africa,Energy & Extractives,2008.0
P084437,5.0,1.0,East Asia and Pacific,"Health, Nutrition & Population",2008.0
P084461,3.0,0.0,Middle East and North Africa,Energy & Extractives,2008.0
P084605,4.0,1.0,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy",2008.0
P084608,3.0,1.0,Europe and Central Asia,Water,2008.0
P084632,3.0,0.0,South Asia,Water,2005.0
P084773,6.0,1.0,East Asia and Pacific,Energy & Extractives,2011.0
P084787,3.0,1.0,East Asia and Pacific,Agriculture and Food,2008.0
P084790,3.0,1.0,South Asia,Water,2005.0
P084792,5.0,1.0,South Asia,Agriculture and Food,2005.0
P084871,5.0,1.0,East Asia and Pacific,Energy & Extractives,2006.0
P084874,5.0,1.0,East Asia and Pacific,Energy & Extractives,2008.0
P084967,3.0,1.0,East Asia and Pacific,Agriculture and Food,2007.0
P084977,4.0,0.0,Europe and Central Asia,"Health, Nutrition & Population",2006.0
P085006,2.0,0.0,Western and Central Africa,"Macroeconomics, Trade and Investment",2006.0
P085009,4.0,1.0,Eastern and Southern Africa,"Finance, Competitiveness and Innovation",2006.0
P085080,3.0,1.0,East Asia and Pacific,Transport,2005.0
P085112,3.0,0.0,Europe and Central Asia,Water,2005.0
P085124,4.0,1.0,East Asia and Pacific,"Macroeconomics, Trade and Investment",2006.0
P085133,3.0,1.0,East Asia and Pacific,Governance,2005.0
P085345,5.0,1.0,South Asia,"Environment, Natural Resources & the Blue Economy",2005.0
P085374,3.0,1.0,East Asia and Pacific,Education,2005.0
P085375,5.0,1.0,East Asia and Pacific,Water,2006.0
P085376,3.0,1.0,East Asia and Pacific,Social Protection & Jobs,2008.0
P085414,4.0,1.0,Eastern and Southern Africa,"Macroeconomics, Trade and Investment",2007.0
P085488,3.0,1.0,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy",2006.0
P085539,2.0,0.0,Latin America and Caribbean,Transport,2008.0
P085621,3.0,1.0,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy",2013.0
P085708,3.0,0.0,Western and Central Africa,Energy & Extractives,2005.0
P085727,3.0,1.0,Latin America and Caribbean,"Urban, Resilience and Land",2006.0
P085752,2.0,0.0,Eastern and Southern Africa,Agriculture and Food,2006.0
P085786,3.0,0.0,Eastern and Southern Africa,Social Protection & Jobs,2005.0
P086294,3.0,1.0,Eastern and Southern Africa,Education,2007.0
P086313,2.0,0.0,East Asia and Pacific,"Health, Nutrition & Population",2008.0
P086341,4.0,1.0,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy",2010.0
P086379,4.0,0.0,Middle East and North Africa,Energy & Extractives,2006.0
P086411,3.0,1.0,South Asia,Transport,2006.0
P086446,4.0,0.0,East Asia and Pacific,"Urban, Resilience and Land",2010.0
P086508,3.0,1.0,East Asia and Pacific,"Urban, Resilience and Land",2008.0
P086513,4.0,1.0,Eastern and Southern Africa,Education,2006.0
P086515,4.0,1.0,East Asia and Pacific,Transport,2007.0
P086518,5.0,1.0,South Asia,"Finance, Competitiveness and Innovation",2005.0
P086528,4.0,1.0,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy",2010.0
P086660,3.0,1.0,Middle East and North Africa,Agriculture and Food,2010.0
P086669,4.0,1.0,Europe and Central Asia,"Health, Nutrition & Population",2009.0
P086747,5.0,1.0,South Asia,Agriculture and Food,2004.0
P086768,5.0,1.0,Europe and Central Asia,Water,2007.0
P086775,3.0,1.0,Latin America and Caribbean,Energy & Extractives,2006.0
P086791,4.0,1.0,South Asia,Education,2004.0
P086801,2.0,0.0,Western and Central Africa,Energy & Extractives,2005.0
P086807,3.0,1.0,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy",2005.0
P086865,2.0,0.0,Middle East and North Africa,Energy & Extractives,2006.0
P086874,4.0,1.0,Eastern and Southern Africa,Social Protection & Jobs,2005.0
P086877,3.0,0.0,Middle East and North Africa,Water,2006.0
P086886,3.0,1.0,Middle East and North Africa,"Environment, Natural Resources & the Blue Economy",2006.0
P086949,3.0,0.0,Europe and Central Asia,Agriculture and Food,2005.0
P087004,4.0,1.0,Western and Central Africa,Transport,2005.0
P087039,4.0,1.0,South Asia,"Environment, Natural Resources & the Blue Economy",2006.0
P087046,4.0,1.0,Latin America and Caribbean,Agriculture and Food,2006.0
P087094,5.0,1.0,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy",2008.0
P087106,3.0,1.0,Latin America and Caribbean,"Urban, Resilience and Land",2007.0
P087140,3.0,1.0,South Asia,Agriculture and Food,2009.0
P087145,4.0,1.0,South Asia,Agriculture and Food,2010.0
P087150,4.0,1.0,South Asia,Agriculture and Food,2005.0
P087152,4.0,1.0,Latin America and Caribbean,"Urban, Resilience and Land",2004.0
P087154,4.0,1.0,Eastern and Southern Africa,Water,2007.0
P087180,2.0,0.0,Western and Central Africa,Education,2005.0
P087224,3.0,0.0,East Asia and Pacific,Water,2008.0
P087304,4.0,1.0,Western and Central Africa,Transport,2009.0
P087347,3.0,1.0,Eastern and Southern Africa,Education,2006.0
P087620,3.0,1.0,Europe and Central Asia,Social Protection & Jobs,2004.0
P087670,4.0,0.0,Western and Central Africa,"Environment, Natural Resources & the Blue Economy",2006.0
P087716,4.0,1.0,East Asia and Pacific,Agriculture and Food,2008.0
P087734,2.0,0.0,Middle East and North Africa,Energy & Extractives,2007.0
P087735,4.0,1.0,Middle East and North Africa,Transport,2006.0
P087807,3.0,1.0,Europe and Central Asia,"Urban, Resilience and Land",2005.0
P087811,3.0,1.0,Europe and Central Asia,"Finance, Competitiveness and Innovation",2007.0
P087860,2.0,1.0,South Asia,Water,2006.0
P087907,4.0,0.0,Middle East and North Africa,Education,2005.0
P087910,4.0,0.0,Middle East and North Africa,Water,2005.0
P087912,5.0,1.0,Middle East and North Africa,Water,2005.0
P087925,3.0,1.0,Latin America and Caribbean,Agriculture and Food,2008.0
P087945,2.0,0.0,East Asia and Pacific,Governance,2006.0
P087964,3.0,1.0,Europe and Central Asia,Water,2006.0
P088032,3.0,0.0,Latin America and Caribbean,Water,2005.0
P088150,4.0,1.0,Western and Central Africa,Governance,2005.0
P088165,4.0,1.0,Europe and Central Asia,"Macroeconomics, Trade and Investment",2006.0
P088220,3.0,0.0,Latin America and Caribbean,Water,2005.0
P088319,4.0,1.0,Latin America and Caribbean,"Urban, Resilience and Land",2006.0
P088435,4.0,0.0,Middle East and North Africa,"Urban, Resilience and Land",2010.0
P088520,3.0,0.0,South Asia,"Environment, Natural Resources & the Blue Economy",2011.0
P088544,3.0,1.0,Eastern and Southern Africa,"Macroeconomics, Trade and Investment",2007.0
P088600,3.0,0.0,Eastern and Southern Africa,Agriculture and Food,2011.0
P088663,4.0,1.0,Europe and Central Asia,"Health, Nutrition & Population",2005.0
P088671,3.0,0.0,Europe and Central Asia,Water,2006.0
P088716,3.0,0.0,Latin America and Caribbean,"Health, Nutrition & Population",2009.0
P088751,3.0,1.0,Eastern and Southern Africa,"Health, Nutrition & Population",2006.0
P088759,4.0,1.0,East Asia and Pacific,"Finance, Competitiveness and Innovation",2009.0
P088799,4.0,1.0,Latin America and Caribbean,Agriculture and Food,2008.0
