project_id,quality_at_entry,outcome_success,region,sector
P075979,5,1,Eastern and Southern Africa,"Health, Nutrition & Population"
P075994,3,0,Western and Central Africa,Energy & Extractives
P076185,3,0,Middle East and North Africa,Education
P076338,4,1,Europe and Central Asia,Poverty and Equity
P076735,4,1,Eastern and Southern Africa,Water
P076872,5,1,South Asia,Governance
P077012,5,1,East Asia and Pacific,"Urban, Resilience and Land"
P077175,4,1,East Asia and Pacific,Energy & Extractives
P077287,4,1,East Asia and Pacific,Water
P077317,3,1,Western and Central Africa,Energy & Extractives
P077328,3,0,Europe and Central Asia,Transport
P077452,3,1,Eastern and Southern Africa,Energy & Extractives
P077717,5,1,Latin America and Caribbean,Energy & Extractives
P077752,4,1,East Asia and Pacific,Water
P077756,4,1,Latin America and Caribbean,"Health, Nutrition & Population"
P077778,2,0,East Asia and Pacific,"Macroeconomics, Trade and Investment"
P077903,4,1,Western and Central Africa,Education
P078070,3,1,East Asia and Pacific,"Urban, Resilience and Land"
P078091,4,1,Western and Central Africa,Energy & Extractives
P078113,5,1,East Asia and Pacific,Education
P078301,4,1,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy"
P078342,3,0,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy"
P078359,5,1,Europe and Central Asia,"Urban, Resilience and Land"
P078382,4,1,Eastern and Southern Africa,"Urban, Resilience and Land"
P078383,4,1,Western and Central Africa,Energy & Extractives
P078389,4,1,Western and Central Africa,Transport
P078538,5,1,South Asia,"Health, Nutrition & Population"
P078539,5,1,South Asia,"Health, Nutrition & Population"
P078627,3,0,Eastern and Southern Africa,Governance
P078643,3,0,Eastern and Southern Africa,Transport
P078707,4,0,South Asia,Energy & Extractives
P078813,3,0,Latin America and Caribbean,Transport
P078832,3,1,South Asia,Governance
P078933,2,0,Europe and Central Asia,Education
P078971,4,1,Europe and Central Asia,"Health, Nutrition & Population"
P078978,4,1,Europe and Central Asia,"Health, Nutrition & Population"
P078997,5,1,South Asia,Agriculture and Food
P079027,4,1,Europe and Central Asia,"Urban, Resilience and Land"
P079032,5,1,Europe and Central Asia,"Urban, Resilience and Land"
P079140,3,0,East Asia and Pacific,Agriculture and Food
P079165,4,1,Latin America and Caribbean,Agriculture and Food
P079314,4,1,Europe and Central Asia,Social Protection & Jobs
P079344,3,0,East Asia and Pacific,Transport
P079414,4,1,Eastern and Southern Africa,Transport
P079628,3,1,East Asia and Pacific,"Health, Nutrition & Population"
P079633,3,0,Western and Central Africa,Energy & Extractives
P079675,3,1,South Asia,"Urban, Resilience and Land"
P079708,5,1,South Asia,Agriculture and Food
P079734,3,0,Eastern and Southern Africa,Transport
P079736,3,0,Western and Central Africa,Transport
P079749,4,1,Western and Central Africa,Transport
P079906,3,0,East Asia and Pacific,Transport
P079935,4,1,East Asia and Pacific,Transport
P080228,3,1,Middle East and North Africa,"Health, Nutrition & Population"
P080935,2,0,Western and Central Africa,"Macroeconomics, Trade and Investment"
P081297,3,0,Western and Central Africa,Agriculture and Food
P081348,4,0,East Asia and Pacific,Water
P081436,2,0,Latin America and Caribbean,"Urban, Resilience and Land"
P081505,3,0,Middle East and North Africa,Transport
P081567,3,0,Western and Central Africa,Agriculture and Food
P081704,4,1,Western and Central Africa,Agriculture and Food
P081712,4,1,Eastern and Southern Africa,"Health, Nutrition & Population"
P081771,3,1,South Asia,"Finance, Competitiveness and Innovation"
P081776,3,1,East Asia and Pacific,Water
P081823,3,0,Middle East and North Africa,"Urban, Resilience and Land"
P081880,3,1,Europe and Central Asia,"Urban, Resilience and Land"
P082026,4,1,Latin America and Caribbean,Transport
P082037,4,1,Latin America and Caribbean,Social Protection & Jobs
P082144,5,1,East Asia and Pacific,Social Protection & Jobs
P082223,4,1,Europe and Central Asia,"Health, Nutrition & Population"
P082239,4,1,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy"
P082242,4,0,Latin America and Caribbean,Social Protection & Jobs
P082295,4,1,East Asia and Pacific,Water
P082308,5,1,Eastern and Southern Africa,Other
P082337,3,1,Europe and Central Asia,Energy & Extractives
P082373,3,1,Western and Central Africa,Water
P082392,2,0,Latin America and Caribbean,Governance
P082419,4,1,Latin America and Caribbean,Water
P082429,2,0,Latin America and Caribbean,"Urban, Resilience and Land"
P082466,4,1,Latin America and Caribbean,Transport
P082492,3,0,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy"
P082502,3,0,Western and Central Africa,Energy & Extractives
P082520,2,0,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy"
P082604,5,1,East Asia and Pacific,"Health, Nutrition & Population"
P082615,4,1,Eastern and Southern Africa,Transport
P082651,2,0,Latin America and Caribbean,Agriculture and Food
P082672,5,1,East Asia and Pacific,"Health, Nutrition & Population"
P082817,4,1,Western and Central Africa,"Urban, Resilience and Land"
P082888,2,1,Western and Central Africa,Governance
P082908,3,1,Latin America and Caribbean,Education
P082916,4,0,Europe and Central Asia,Governance
P082952,3,1,Middle East and North Africa,Education
P082969,4,1,Western and Central Africa,"Urban, Resilience and Land"
P082977,3,1,South Asia,"Finance, Competitiveness and Innovation"
P082993,4,1,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy"
P083045,3,0,Latin America and Caribbean,Agriculture and Food
P083051,6,1,Latin America and Caribbean,Agriculture and Food
P083108,3,0,Europe and Central Asia,Transport
P083110,4,1,Europe and Central Asia,Transport
P083126,5,1,Europe and Central Asia,"Urban, Resilience and Land"
P083131,5,1,Eastern and Southern Africa,Energy & Extractives
P083187,5,1,South Asia,Water
P083235,4,1,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy"
P083250,3,1,Eastern and Southern Africa,"Finance, Competitiveness and Innovation"
P083322,4,1,East Asia and Pacific,"Urban, Resilience and Land"
P083325,4,1,Eastern and Southern Africa,Transport
P083351,3,1,Eastern and Southern Africa,"Macroeconomics, Trade and Investment"
P083581,3,1,East Asia and Pacific,Transport
P083588,3,1,East Asia and Pacific,Transport
P083593,6,1,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy"
P083609,4,1,Western and Central Africa,Agriculture and Food
P083702,3,1,Europe and Central Asia,Energy & Extractives
P083742,3,0,East Asia and Pacific,Agriculture and Food
P083751,2,1,Western and Central Africa,Transport
P083767,5,1,Middle East and North Africa,Education
P083780,3,1,South Asia,"Urban, Resilience and Land"
P083809,3,0,Eastern and Southern Africa,"Finance, Competitiveness and Innovation"
P083813,3,0,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy"
P083904,4,1,Latin America and Caribbean,Governance
P083908,4,1,South Asia,Energy & Extractives
P083923,3,1,South Asia,Transport
P083929,4,1,South Asia,"Urban, Resilience and Land"
P083952,5,1,Latin America and Caribbean,Transport
P083965,3,1,Latin America and Caribbean,Education
P083979,4,1,Latin America and Caribbean,"Urban, Resilience and Land"
P083997,2,0,Latin America and Caribbean,Agriculture and Food
P084002,4,1,Western and Central Africa,Water
P084022,5,1,Western and Central Africa,"Urban, Resilience and Land"
P084027,3,1,Western and Central Africa,"Urban, Resilience and Land"
P084035,3,1,Europe and Central Asia,Water
P084078,4,1,South Asia,Agriculture and Food
P084148,4,1,Eastern and Southern Africa,Agriculture and Food
P084160,2,0,Western and Central Africa,Governance
P084302,3,1,South Asia,Water
P084317,4,1,Western and Central Africa,Education
P084404,3,1,Eastern and Southern Africa,Energy & Extractives
P084437,5,1,East Asia and Pacific,"Health, Nutrition & Population"
P084461,3,0,Middle East and North Africa,Energy & Extractives
P084605,4,1,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy"
P084608,3,1,Europe and Central Asia,Water
P084632,3,0,South Asia,Water
P084773,6,1,East Asia and Pacific,Energy & Extractives
P084787,3,1,East Asia and Pacific,Agriculture and Food
P084790,3,1,South Asia,Water
P084792,5,1,South Asia,Agriculture and Food
P084871,5,1,East Asia and Pacific,Energy & Extractives
P084874,5,1,East Asia and Pacific,Energy & Extractives
P084967,3,1,East Asia and Pacific,Agriculture and Food
P084977,4,0,Europe and Central Asia,"Health, Nutrition & Population"
P085006,2,0,Western and Central Africa,"Macroeconomics, Trade and Investment"
P085009,4,1,Eastern and Southern Africa,"Finance, Competitiveness and Innovation"
P085080,3,1,East Asia and Pacific,Transport
P085112,3,0,Europe and Central Asia,Water
P085124,4,1,East Asia and Pacific,"Macroeconomics, Trade and Investment"
P085133,3,1,East Asia and Pacific,Governance
P085345,5,1,South Asia,"Environment, Natural Resources & the Blue Economy"
P085374,3,1,East Asia and Pacific,Education
P085375,5,1,East Asia and Pacific,Water
P085376,3,1,East Asia and Pacific,Social Protection & Jobs
P085414,4,1,Eastern and Southern Africa,"Macroeconomics, Trade and Investment"
P085488,3,1,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy"
P085539,2,0,Latin America and Caribbean,Transport
P085621,3,1,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy"
P085708,3,0,Western and Central Africa,Energy & Extractives
P085727,3,1,Latin America and Caribbean,"Urban, Resilience and Land"
P085752,2,0,Eastern and Southern Africa,Agriculture and Food
P085786,3,0,Eastern and Southern Africa,Social Protection & Jobs
P086294,3,1,Eastern and Southern Africa,Education
P086313,2,0,East Asia and Pacific,"Health, Nutrition & Population"
P086341,4,1,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy"
P086379,4,0,Middle East and North Africa,Energy & Extractives
P086411,3,1,South Asia,Transport
P086446,4,0,East Asia and Pacific,"Urban, Resilience and Land"
P086508,3,1,East Asia and Pacific,"Urban, Resilience and Land"
P086513,4,1,Eastern and Southern Africa,Education
P086515,4,1,East Asia and Pacific,Transport
P086518,5,1,South Asia,"Finance, Competitiveness and Innovation"
P086528,4,1,Eastern and Southern Africa,"Environment, Natural Resources & the Blue Economy"
P086660,3,1,Middle East and North Africa,Agriculture and Food
P086669,4,1,Europe and Central Asia,"Health, Nutrition & Population"
P086747,5,1,South Asia,Agriculture and Food
P086768,5,1,Europe and Central Asia,Water
P086775,3,1,Latin America and Caribbean,Energy & Extractives
P086791,4,1,South Asia,Education
P086801,2,0,Western and Central Africa,Energy & Extractives
P086807,3,1,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy"
P086865,2,0,Middle East and North Africa,Energy & Extractives
P086874,4,1,Eastern and Southern Africa,Social Protection & Jobs
P086877,3,0,Middle East and North Africa,Water
P086886,3,1,Middle East and North Africa,"Environment, Natural Resources & the Blue Economy"
P086949,3,0,Europe and Central Asia,Agriculture and Food
P087004,4,1,Western and Central Africa,Transport
P087039,4,1,South Asia,"Environment, Natural Resources & the Blue Economy"
P087046,4,1,Latin America and Caribbean,Agriculture and Food
P087094,5,1,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy"
P087106,3,1,Latin America and Caribbean,"Urban, Resilience and Land"
P087140,3,1,South Asia,Agriculture and Food
P087145,4,1,South Asia,Agriculture and Food
P087150,4,1,South Asia,Agriculture and Food
P087152,4,1,Latin America and Caribbean,"Urban, Resilience and Land"
P087154,4,1,Eastern and Southern Africa,Water
P087180,2,0,Western and Central Africa,Education
P087224,3,0,East Asia and Pacific,Water
P087304,4,1,Western and Central Africa,Transport
P087347,3,1,Eastern and Southern Africa,Education
P087620,3,1,Europe and Central Asia,Social Protection & Jobs
P087670,4,0,Western and Central Africa,"Environment, Natural Resources & the Blue Economy"
P087716,4,1,East Asia and Pacific,Agriculture and Food
P087734,2,0,Middle East and North Africa,Energy & Extractives
P087735,4,1,Middle East and North Africa,Transport
P087807,3,1,Europe and Central Asia,"Urban, Resilience and Land"
P087811,3,1,Europe and Central Asia,"Finance, Competitiveness and Innovation"
P087860,2,1,South Asia,Water
P087907,4,0,Middle East and North Africa,Education
P087910,4,0,Middle East and North Africa,Water
P087912,5,1,Middle East and North Africa,Water
P087925,3,1,Latin America and Caribbean,Agriculture and Food
P087945,2,0,East Asia and Pacific,Governance
P087964,3,1,Europe and Central Asia,Water
P088032,3,0,Latin America and Caribbean,Water
P088150,4,1,Western and Central Africa,Governance
P088165,4,1,Europe and Central Asia,"Macroeconomics, Trade and Investment"
P088220,3,0,Latin America and Caribbean,Water
P088319,4,1,Latin America and Caribbean,"Urban, Resilience and Land"
P088435,4,0,Middle East and North Africa,"Urban, Resilience and Land"
P088520,3,0,South Asia,"Environment, Natural Resources & the Blue Economy"
P088544,3,1,Eastern and Southern Africa,"Macroeconomics, Trade and Investment"
P088600,3,0,Eastern and Southern Africa,Agriculture and Food
P088663,4,1,Europe and Central Asia,"Health, Nutrition & Population"
P088671,3,0,Europe and Central Asia,Water
P088716,3,0,Latin America and Caribbean,"Health, Nutrition & Population"
P088751,3,1,Eastern and Southern Africa,"Health, Nutrition & Population"
P088759,4,1,East Asia and Pacific,"Finance, Competitiveness and Innovation"
P088799,4,1,Latin America and Caribbean,Agriculture and Food
P088816,6,1,East Asia and Pacific,"Finance, Competitiveness and Innovation"
P088828,2,0,Western and Central Africa,Agriculture and Food
P088876,3,0,Middle East and North Africa,"Urban, Resilience and Land"
P088926,4,1,East Asia and Pacific,Water
P088966,2,0,Latin America and Caribbean,Water
P088996,3,0,Latin America and Caribbean,Energy & Extractives
P089011,2,0,Latin America and Caribbean,Water
P089013,1,0,Latin America and Caribbean,"Urban, Resilience and Land"
P089040,5,1,South Asia,Education
P089082,3,0,East Asia and Pacific,Water
P089124,4,1,Europe and Central Asia,"Finance, Competitiveness and Innovation"
P089196,2,1,East Asia and Pacific,"Finance, Competitiveness and Innovation"
P089244,3,0,Europe and Central Asia,Energy & Extractives
P089259,4,1,Middle East and North Africa,Agriculture and Food
P089297,4,1,East Asia and Pacific,"Urban, Resilience and Land"
P089324,4,1,Latin America and Caribbean,Education
P089378,3,1,South Asia,Water
P089382,5,1,South Asia,"Finance, Competitiveness and Innovation"
P089479,4,1,East Asia and Pacific,Education
P089566,4,1,Europe and Central Asia,"Urban, Resilience and Land"
P089656,4,1,Europe and Central Asia,Energy & Extractives
P089672,4,1,Western and Central Africa,Transport
P089733,4,1,Europe and Central Asia,Governance
P089761,4,1,Middle East and North Africa,Education
P089866,4,1,Latin America and Caribbean,Energy & Extractives
P089898,3,1,Latin America and Caribbean,Education
P089926,3,1,Latin America and Caribbean,"Urban, Resilience and Land"
P089929,3,0,Latin America and Caribbean,Water
P089985,5,1,South Asia,Water
P090010,4,1,Latin America and Caribbean,Social Protection & Jobs
P090073,4,1,Middle East and North Africa,"Environment, Natural Resources & the Blue Economy"
P090075,3,1,Western and Central Africa,Transport
P090116,4,1,Latin America and Caribbean,Energy & Extractives
P090119,4,1,Latin America and Caribbean,Energy & Extractives
P090135,3,0,Western and Central Africa,Transport
P090157,4,1,South Asia,"Urban, Resilience and Land"
P090265,3,0,Western and Central Africa,Governance
P090309,3,1,Europe and Central Asia,Governance
P090335,4,1,East Asia and Pacific,Transport
P090340,3,0,Europe and Central Asia,Education
P090376,3,1,East Asia and Pacific,Water
P090389,3,0,Europe and Central Asia,Governance
P090418,4,1,Europe and Central Asia,Social Protection & Jobs
P090501,4,1,South Asia,"Urban, Resilience and Land"
P090585,4,0,South Asia,Transport
P090592,4,1,South Asia,Water
P090615,3,1,Eastern and Southern Africa,"Health, Nutrition & Population"
P090644,5,1,Western and Central Africa,Social Protection & Jobs
P090673,5,1,Europe and Central Asia,"Urban, Resilience and Land"
P090675,4,1,Europe and Central Asia,Water
P090693,3,0,East Asia and Pacific,"Environment, Natural Resources & the Blue Economy"
P090695,4,1,Europe and Central Asia,"Macroeconomics, Trade and Investment"
P090712,5,1,Western and Central Africa,Social Protection & Jobs
P090723,5,1,East Asia and Pacific,Agriculture and Food
P090764,5,1,South Asia,Agriculture and Food
P090768,5,1,South Asia,Agriculture and Food
P090807,5,1,South Asia,Education
P090867,4,1,Eastern and Southern Africa,"Urban, Resilience and Land"
P090967,4,1,South Asia,Education
P090990,4,1,East Asia and Pacific,Transport
P090991,4,1,East Asia and Pacific,Water
P090993,4,1,Latin America and Caribbean,"Health, Nutrition & Population"
P091020,5,1,East Asia and Pacific,Transport
P091031,3,1,South Asia,"Environment, Natural Resources & the Blue Economy"
P091077,4,1,Eastern and Southern Africa,Transport
P091092,3,0,Eastern and Southern Africa,Water
P091297,4,1,Western and Central Africa,"Urban, Resilience and Land"
P091299,4,1,Latin America and Caribbean,"Urban, Resilience and Land"
P091715,3,1,Europe and Central Asia,Agriculture and Food
P091747,4,1,East Asia and Pacific,Education
P091827,3,0,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy"
P091828,3,1,Eastern and Southern Africa,Transport
P091932,5,1,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy"
P091949,5,1,East Asia and Pacific,"Urban, Resilience and Land"
P091950,3,1,East Asia and Pacific,"Urban, Resilience and Land"
P091979,3,1,Eastern and Southern Africa,Agriculture and Food
P092217,5,1,South Asia,"Urban, Resilience and Land"
P092218,3,1,East Asia and Pacific,"Finance, Competitiveness and Innovation"
P092353,2,0,Eastern and Southern Africa,Water
P092429,5,1,Europe and Central Asia,Poverty and Equity
P092484,3,1,East Asia and Pacific,Governance
P092537,2,0,Eastern and Southern Africa,Transport
P092618,4,1,East Asia and Pacific,Water
P092631,3,1,East Asia and Pacific,Transport
P092724,3,1,Eastern and Southern Africa,Agriculture and Food
P092735,5,1,South Asia,Agriculture and Food
P092836,4,1,Latin America and Caribbean,Governance
P092837,2,0,Eastern and Southern Africa,Transport
P092898,3,0,Eastern and Southern Africa,Governance
P092965,5,1,East Asia and Pacific,Transport
P092986,3,0,Western and Central Africa,"Finance, Competitiveness and Innovation"
P092990,5,1,Latin America and Caribbean,Transport
P092999,1,0,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy"
P093050,4,1,Europe and Central Asia,"Urban, Resilience and Land"
P093096,3,1,Europe and Central Asia,Social Protection & Jobs
P093132,5,1,South Asia,Water
P093165,3,0,Eastern and Southern Africa,Agriculture and Food
P093201,4,1,Middle East and North Africa,Energy & Extractives
P093384,3,1,Latin America and Caribbean,"Environment, Natural Resources & the Blue Economy"
P093478,4,1,South Asia,Agriculture and Food
P093491,5,1,Latin America and Caribbean,Water
P093610,4,1,Western and Central Africa,Transport
P093640,5,1,Latin America and Caribbean,Agriculture and Food
P093699,3,1,Eastern and Southern Africa,Agriculture and Food
P093719,4,1,Middle East and North Africa,Water
P093720,4,0,South Asia,Agriculture and Food
P093765,4,1,Europe and Central Asia,Energy & Extractives
P093767,4,0,Europe and Central Asia,Transport
P093775,5,1,Europe and Central Asia,"Environment, Natural Resources & the Blue Economy"
P093787,4,1,Latin America and Caribbean,Agriculture and Food
P093806,3,1,Western and Central Africa,Water
P093826,3,1,Western and Central Africa,Water
P093963,4,1,East Asia and Pacific,Transport
P093987,4,1,Western and Central Africa,"Health, Nutrition & Population"
P093988,3,0,South Asia,Water
P094007,5,1,Middle East and North Africa,Transport
P094018,4,1,Europe and Central Asia,Transport
P094055,3,1,East Asia and Pacific,"Urban, Resilience and Land"
P094063,3,1,East Asia and Pacific,Education
P094084,5,1,Western and Central Africa,Agriculture and Food
P094086,3,1,South Asia,Education
P094103,4,1,Eastern and Southern Africa,Digital Development
P094183,4,1,Eastern and Southern Africa,Agriculture and Food
P094199,3,1,Latin America and Caribbean,"Urban, Resilience and Land"
P094212,3,0,Europe and Central Asia,"Urban, Resilience and Land"
P094220,3,0,Europe and Central Asia,"Health, Nutrition & Population"
P094225,4,1,Europe and Central Asia,Social Protection & Jobs
