Loan Number,Project No.,Country Name,ISO ALPHA-3 Country Code,ADB Country Code,Country Group,"Country classification, latest ","Country classification, at approval",Department,Project Name,"Modality
(AER)",Mode of financial assistance,ADF or OCR?,Source of funds,"Approved amount 
(USD mil)","Disbursed amount
(USD mil)",Approval date,Approval year,Loan signing,Loan effectivity (original),Loan effectivity (actual),Closing date (estimate),Closing date (actual),"Cofin, app
(USD mil)","Cofin, act
(USD mil)","Proj Cost, app
(USD mil)","Proj Cost, act
(USD mil)",Sector (2009),Subsector (2009),Primary Sector (PCS 2014),Primary Sector (PCS 2014)_3,Primary Subsector (PCS 2014),Secondary Sector (PCS 2014),Secondary Subsector (PCS 2014),RRP circulation date (BOD),PCR circulation date (BOD),PCR overall rating,PCR relevance,PCR effectiveness,PCR efficiency,PCR sustainability,With PVR?,PVR circulation date,PVR overall rating,PVR relevance,PVR effectiveness,PVR efficiency,PVR sustainability,"With PPER/
PPAR?",PPER circulation date (BOD),PPER overall rating,PPER relevance,PPER effectiveness,PPER efficiency,PPER sustainability,Source of latest rating,"AER reporting year
(PCR circ)",Latest overall rating,Latest relevance,Latest effectiveness,Latest efficiency,Latest sustainability
1993/2275/2276/2757/2758,31501-013/31501-023/31501-033,Sri Lanka,LKA,SRI,South Asia,B,B1,SARD,Secondary Towns and Rural Community-Based Water Supply and Sanitation Project,Project,Project loan,,ADF,215.5,289.83,16-Jan-03,2003,18-Aug-03,21-Nov-03,21-Nov-03,30-Jun-14,31-Dec-14,0,0,259.44,255.35,nd,nd,Water and other urban infrastructure services,WUS,Urban water supply,ANR,Rural water supply services,18-Dec-02,26-Sep-16,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,Yes,17-Aug,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable
2046/2456,32254-013/32254-023,India,IND,IND,South Asia,B,B2,SARD,Urban Water Supply and Environmental Improvement in Madhya Pradesh,Project,Project loan,,OCR,252,209.6,12-Dec-03,2003,9-Mar-05,9-Jun-05,17-May-05,30-Sep-11,24-Jun-14,0,0,383,311.8,nd,nd,Water and other urban infrastructure services,WUS,Urban water supply,„na,„na,21-Nov-03,28-Jul-16,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,17-Aug,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Less than likely sustainable
2265/8225,36297-013,Bangladesh,BGD,BAN,South Asia,B,B1,SARD,Secondary Towns Water Supply and Sanitation Sector Project,Project,Sector loan,,ADF,41,34.74,16-Oct-06,2006,8-Nov-06,8-Feb-07,31-Jan-07,30-Jun-13,13-Jul-16,9,7.7,71.1,60.6,"Water supply, sanitation, and waste management",Water supply and sanitation,Water and other urban infrastructure services,WUS,Urban water supply,„na,„na,25-Sep-06,15-Sep-16,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,17-Jul,Successful,Highly relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Highly relevant,Effective,Efficient,Likely sustainable
2466/0131,40007-013,Uzbekistan,UZB,UZB,Central West Asia,B,B,CWRD,Surkhandarya Water Supply & Sanitation Project,Project,Project loan,,ADF,31.5,31.16,3-Nov-08,2008,20-Apr-09,19-Jun-09,27-Jul-09,30-Sep-14,10-Mar-15,1.5,1.5,40,39.48,"Water supply, sanitation, and waste management",Water supply and sanitation,Water and other urban infrastructure services,WUS,Urban water supply,„na,„na,10-Oct-08,19-Jul-16,Successful,Highly relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2017,Successful,Highly relevant,Effective,Efficient,Likely sustainable
2055/2603,32200-013/32200-023,Fiji,FJI,FIJ,Pacific,C,C,PARD,Suva-Nausori Water Supply and Sewerage Project (Supplementary Loan),Project,Project loan,,OCR,68.79,86.86,18-Dec-03,2003,5-Aug-04,3-Nov-04,8-Dec-04,30-Jun-09,3-Sep-13,68.79,86.86,95.03,137.17,Water supply and other municipal infrastructure and services,"Water supply and sanitation, urban sector development",Water and other urban infrastructure services,WUS,Urban sewerage,„na,„na,27-Nov-03,15-Sep-16,Successful,Highly relevant,Effective,Less efficient,Likely sustainable,Yes,17-Aug,Less than successful,Relevant,Effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Less than successful,Relevant,Effective,Less than efficient,Less than likely sustainable
2347,32298-053,India,IND,IND,South Asia,B,B2,SARD,MFF-Madhya Pradesh Power Sector Investment Program (Tranche 4),Project,MFF-Tranche (Loan),,OCR,90,74.16,21-Aug-07,2007,7-Mar-08,5-Jul-08,11-Jun-08,31-Dec-11,1-May-14,0,0,159.7,81.81,nd,nd,Energy,ENE,Electricity transmission and distribution,„na,„na,no rrp?,22-Jul-16,Successful,Relevant,Less than effective,Efficient,Likely sustainable,Yes,17-Jul,Successful,Relevant,Less than effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Less than effective,Efficient,Likely sustainable
2165/0004,37078-013,Afghanistan,AFG,AFG,Central West Asia,A,A,CWRD,Power Transmission and Distribution Project,Project,Project loan,,ADF,50,47,14-Apr-05,2005,2-Aug-05,2-Nov-05,2-Mar-06,31-Dec-15,25-May-16,0,0,50,68.27,Energy,Transmission and distribution,Energy,ENE,Electricity transmission and distribution,„na,„na,23-Mar-05,26-Sep-16,Successful,Relevant,Less than effective,Efficient,Likely sustainable,Yes,17-Aug,Successful,Relevant,Less than effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Less than effective,Efficient,Likely sustainable
2332/2333/2334,36107-013/36107-023,Bangladesh,BGD,BAN,South Asia,B,B1,SARD,Sustainable Power Sector Development Program (Project),Program/Project,SDP - Project loan/SDP-Program loan,,OCR,465,436.64,26-Jun-07,2007,28-Jun-07,26-Sep-07,24-Sep-07,30-Jun-10,22-Oct-14,0,0,739.9,892.5,Energy,Conventional energy generation,Energy,ENE,Energy efficiency and conservation,„na,„na,5-Jun-07,22-Sep-16,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,17-Aug,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
2661/3031,44192-013,Bangladesh,BGD,BAN,South Asia,B,B,SARD,Bangladesh-India Electrical Grid Interconnection Project,Project,Project loan,,ADF,112,110.89,31-Aug-10,2010,13-Oct-10,11-Jan-11,8-Mar-11,31-Dec-14,30-Jun-15,0,0,199,183.54,Energy,Energy transmission and distribution,Energy,ENE,Electricity transmission and distribution,„na,„na,10-Aug-10,22-Sep-16,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,17-Aug,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
2775,44318-023,Uzbekistan,UZB,UZB,Central West Asia,B,B,CWRD,Housing for Integrated Rural Development Investment Program,Project,MFF-Tranche (Loan),,OCR,200,199.74,9-Sep-11,2011,16-Feb-12,1-Apr-12,20-Apr-12,31-Dec-13,10-Dec-15,0,0,714.6,697.7,Multisector,Agriculture and rural sector development,Finance,FIN,Housing finance,ANR,"Agricultural policy, institutional and capacity development",9-Aug-11,22-Sep-16,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,PCR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
2641/0208,36169-023,Nepal,NPL,NEP,South Asia,A,A,SARD,Rural Finance Sector Development Cluster Program (Subprogram 2),Program,SDP - Program loan,,ADF,72.5,68.82,18-Jun-10,2010,23-Dec-10,23-Mar-11,26-Dec-10,31-Dec-12,14-Jan-16,0,0,72.5,68.82,nd,nd,Finance,FIN,Finance sector development,„na,„na,28-May-10,7-Sep-16,Successful,Relevant,Effective,Less than efficient,Likely sustainable,Yes,17-Jul,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
2151,38136-013,India,IND,IND,South Asia,B,B2,SARD,Multi-sector Project for Infrastructure Rehabilitation in Jammu and Kashmir ,Project,Project loan,,OCR,250,250,21-Dec-04,2004,17-Mar-05,15-Jun-05,13-May-05,31-Dec-09,16-Apr-14,0,0,358,371.6,Transport and ICT,Roads and highways,Transport,TRA,Road transport (non-urban),WUS,Urban water supply,3-Dec-04,30-Sep-16,Less than successful,Relevant,Less than effective,Efficient,Less than likely sustainable,Yes,17-Sep,Less than successful,Relevant,Less than effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Less than successful,Relevant,Less than effective,Efficient,Less than likely sustainable
2154,35335-013,India,IND,IND,South Asia,B,B2,SARD,National Highway Sector II Project,Project,Sector loan,,OCR,400,388.35,21-Dec-04,2004,15-Dec-05,15-Mar-06,20-Feb-06,31-Dec-08,9-May-12,0,0,670.6,744.4,Transport and communications,Roads and highways,Transport,TRA,Road transport (non-urban),„na,„na,1-Dec-04,21-Sep-16,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,17-Oct,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
2445,37066-043,India,IND,IND,South Asia,B,B,SARD,MFF - Rural Roads Sector II Investment Program (Project 3),Project,MFF-Tranche (Loan),,OCR,130,121.73,26-Sep-08,2008,10-Nov-08,8-Feb-09,5-Jan-09,31-Dec-10,30-Jun-13,0,0,168.8,178.32,nd,nd,Transport,TRA,Road transport (non-urban),„na,„na,no rrp?,21-Jul-16,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,17-Sep,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
2526,40643-013,"China, People's Republic of",CHN,PRC,East Asia,C,C,EARD,Xinjiang Urban Transport and Environmental Improvement Project ,Project,Project loan,,OCR,100,97.8,29-Jun-09,2009,26-Aug-09,24-Nov-09,27-Nov-09,31-Dec-14,26-Jun-15,0,0,187.2,149,Multisector,"Urban transport, waste management, other municipal services",Transport,TRA,Urban roads and traffic management,WUS,"
Urban solid waste management",8-Jun-09,28-Jul-16,Highly successful,Highly relevant,Highly effective,Efficient,Highly likely to be sustainable,Yes,1-Oct-17,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
2539,42358-013,Cambodia,KHM,CAM,Southeast Asia,A,A,SERD,Greater Mekong Subregion: Cambodia Northwest Provincial Road Improvement Project,Project,Project loan,,ADF,16.26,12.63,24-Aug-09,2009,17-Sep-09,16-Dec-09,25-Nov-09,30-Jun-14,8-Sep-15,25.57,29.58,47.89,50.48,"Transport, and information and communication technology ",Road transport,Transport,TRA,Road transport (non-urban),„na,„na,3-Aug-09,15-Jul-16,Less than successful,Relevant,Effective,Less than efficient,Less than likely sustainable,Yes,17-Dec,Less than successful,Relevant,Less than effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Less than successful,Relevant,Less than effective,Efficient,Less than likely sustainable
2210/2231/2540,37559-043,Pakistan,PAK,PAK,Central West Asia,B,B1,CWRD,National Highway Development Sector Investment Program - Tranche 2,Project,MFF-Tranche (Loan),,OCR,413,334.25,13-Dec-05,2005,14-Jun-06,14-Sep-06,27-Jul-06,31-Dec-10,19-Apr-11,0,0,491.15,407.32,Transport and communications,Roads and highways,Transport,TRA,Road transport (non-urban),„na,„na,22-Nov-05,9-Sep-16,Successful,Relevant,Highly effective,Highly efficient,Likely sustainable,Yes,17-Dec,Successful,Relevant,Effective,Highly efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Highly efficient,Less than likely sustainable
2541,43110-013,Fiji,FJI,FIJ,Pacific,C,C,PARD,Emergency Flood Recovery (Sector) Project,Project,Sector loan,,OCR,17.56,17.02,27-Aug-09,2009,5-Nov-09,3-Feb-10,25-Nov-09,29-Feb-12,17-Jul-15,0,0,19.99,24.3,Transport and ICT,Road transport,Transport,TRA,Road transport (non-urban),ANR,Agricultural drainage,20-Aug-09,23-Aug-16,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable,Yes,17-Aug,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Less than successful,Relevant,Less than effective,Less than efficient,Likely sustainable
2546,39619-013,Sri Lanka,LKA,SRI,South Asia,B,B,SARD,Eastern and North Central Provincial Road Project,Project,Project loan,,ADF,71.06,65.33,16-Sep-09,2009,22-Oct-09,20-Jan-10,13-Nov-09,30-Jun-14,30-Sep-14,0,0,78,73.35,Transport and communications,Road transport,Transport,TRA,Road transport (non-urban),„na,„na,20-Aug-09,15-Sep-16,Successful,Highly relevant,Highly effective,Efficient,Less than likely sustainable,Yes,17-Sep,Successful,Highly relevant,Highly effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Highly relevant,Highly effective,Efficient,Less than likely sustainable
2562,41121-033,Kazakhstan,KAZ,KAZ,Central West Asia,C,C,CWRD,CAREC Transport Corridor 1 (Zhambyl Oblast Section) Investment Program - Tranche 2,Project,MFF-Tranche (Loan),,OCR,187,184.66,7-Oct-09,2009,3-Dec-09,60 days from loan agreement,13-Apr-10,30-Jun-15,22-Oct-15,0,0,220,218.65,Transport and communications,Roads and highways,Transport,TRA,Road transport (non-urban),„na,„na,no rrp?,14-Sep-16,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,17-Aug,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
51,37266-032,Nepal,NPL,NEP,South Asia,A,A,SARD,Road Connectivity Sector I,Project,Project grant,,ADF,55.2,50.08,10-Aug-06,2006,11-Sep-06,10-Dec-06,10-Dec-06,30-Jun-13,27-Oct-15,10,8.87,80,73.83,Transport and communications,Roads and highways,Transport,TRA,Road transport (non-urban),„na,„na,20-Jul-06,22-Jul-16,Successful,Relevant,Less than effective,Efficient,Likely sustainable,Yes,17-Oct,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
2301/9138,37697-013,Mongolia,MNG,MON,East Asia,B,A,EARD,Urban Development Sector Project,Project,Project loan,,ADF,28.2,35.03,19-Dec-06,2006,27-Aug-07,25-Nov-07,26-Feb-08,30-Jun-13,18-Dec-15,2.1,0.16,37.62,41.32,Multisector,Water supply and sanitation,Water and other urban infrastructure services,TRA,Urban roads and traffic managemen,WUS,"Urban water supply, Urban sewerage",28-Nov-06,8-Sep-16,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,17-Oct,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Less than likely sustainable
2588/2589/2590,43141-023,Papua New Guinea,PNG,PNG,Pacific,B,B,PARD,Civil Aviation Development Investment Program (Tranche 1),Project,MFF-Tranche (Loan),,ADF/OCR,95,89.7,1-Dec-09,2009,28-Jan-10,28-Apr-10,22-Mar-10,30-Jun-13,15-Jul-16,0,0,112,113.3,Transport and ICT,Air Transport,Transport,TRA,Air transport,„na,„na,3-Nov-09,23-Sep-16,Less than successful,Highly relevant,Less than effective,Less than efficient,Less than likely sustainable,Yes,17-Jul,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable
2697/8251,41121-043,Kazakhstan,KAZ,KAZ,Central West Asia,C,C,CWRD,CAREC Transport Corridor 1 (Zhambyl Oblast Section) Investment Program - Tranche 3,Project,MFF-Tranche (Loan),,OCR,173,164.67,15-Nov-10,2010,15-Dec-10,13-Feb-11,15-Jun-11,31-Dec-13,22-Apr-15,68,68.33,281,269.31,Transport and communications,pcs14,Transport,TRA,Road transport (non-urban),„na,„na,23-Oct-08,15-Sep-16,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,17-Oct,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Less than likely sustainable
2742/2743,44372-013,Pakistan,PAK,PAK,Central West Asia,B,B,CWRD,Flood Emergency Reconstruction Project,Project,Multiproject loan,,ADF/OCR,650,499.49,30-Mar-11,2011,14-Apr-11,30 days from loan agreement,26-May-11,30-Sep-14,8-Aug-16,0,0,722.2,571.51,Multisector,Road transport,Transport,TRA,Road transport (non-urban),ANR,Irrigation,23-Mar-11,21-Sep-16,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,17-Jul,Successful,Relevant,Effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Likely sustainable
3155,46220-001,Armenia,ARM,ARM,Central West Asia,C,B,CWRD,Infrastructure Sustainability Support Program,Program,Program loan,,ADF,49,45.56,28-Aug-14,2014,3-Oct-14,1-Jan-15,19-Dec-14,30-Sep-15,11-Nov-15,0,0,49,45.56,NA,NA,Public sector management,PSM,Public expenditure and fiscal management,WUS TRA,"Urban policy, institutional and capacity development, 
Transport policies and institutional development",,14-Jun-17,Successful,Highly relevant,Effective,Efficient,Likely sustainable,Yes,17-Dec,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Less than likely sustainable
2954/2955/0321/0322,45260-001,Regional,,REG,Regional,REG,REG,SARD,South Asia Subregional Economic Cooperation Trade Facilitation Program (Sf),Program,Program loan,,ADF,47.67,46.5,29-Nov-12,2012,20-Jan-13,20-Apr-13,19-Apr-13,31-Dec-15,15-Nov-15,0,0,47.67,46.5,Industry and trade,Industry and trade sector development,Industry and trade,IND,Industry and trade sector development,„na,„na,8-Nov-12,11-May-17,Successful,Relevant,Less than effective,Efficient,Likely sustainable,Yes,17-Dec,Successful,Relevant,Less than effective,Efficient,Likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Less than effective,Efficient,Likely sustainable
2536/2537,41607-013,India,IND,IND,South Asia,B,B,SARD,Mizoram Public Resource Management Program,Program,Program loan,,OCR,100,95.26,18-Aug-09,2009,17-Sep-09,19-Oct-09,19-Oct-09,31-Jan-13,2-Mar-15,0,0,134.32,108.74,Public sector management,Public expenditure and fiscal management,Public sector management,PSM,Public expenditure and fiscal management,„na,„na,28-Jul-09,31-Mar-17,Less than successful,Relevant,Less than effective,Less than efficient,Less than likely sustainable,Yes,17-Dec,Less than successful,Less than relevant,Less than effective,Less than efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Less than successful,Less than relevant,Less than effective,Less than efficient,Less than likely sustainable
2768,43255-013,Indonesia,IDN,INO,Southeast Asia,C,C,SERD,Urban Sanitation and Rural Infrastructure Support to the PNPM Mandiri Project,Project,Project loan,,OCR,100,95.55,5-Aug-11,2011,30-Sep-11,30-Dec-11,15-Nov-11,30-Jun-15,23-Nov-16,0,0,135.6,121.82,Multisector,Water supply and sanitation,Water and other urban infrastructure services,WUS,Urban sanitation,TRA ANR,"Road transport (non-urban), Rural water supply services",15-Jul-11,2-Mar-17,Successful,Relevant,Effective,Efficient,Likely sustainable,Yes,17-Dec,Successful,Relevant,Effective,Efficient,Less than likely sustainable,No,NA,NA,NA,NA,NA,NA,PVR,2017,Successful,Relevant,Effective,Efficient,Less than likely sustainable
