DATAFLOW,STRUCTURE_NAME,ACTION,DONOR,Donor,RECIPIENT,Recipient,SECTOR,Sector,MEASURE,Measure,CHANNEL,Channel,MODALITY,Modality,FLOW_TYPE,Flow type,PRICE_BASE,Price base,MD_DIM,Drilldown dimension,MD_ID,Microdata ID,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,DONOR_AGENCY,Donor agency,OECD_ID,OECD ID,DONOR_PROJECT_ID,Donor project ID,REGION,Region,INCOME_GROUP,Income group,CHANNELDELIVERY_CODE,Channel of delivery code,CHANNELDELIVERY_NAME,Channel of delivery name,CATEGORY_CODE,Category code,CATEGORY_NAME,Category name,FINANCETYPE_CODE,FinanceType code,FINANCETYPE_NAME,FinanceType name,BIMULTI_CODE,BiMulti code,SHORT_DESCRIPTION,Short description,PROJECT_TITLE,Project title,LONG_DESCRIPTION,Long description,SDG_FOCUS,SDG focus,GENDER_EQUALITY,Gender equality,ENVIRONMENT,Environment,GOVERNANCE,Governance,RMNCH,RMNCH,DRR,DRR,NUTRITION,Nutrition,DISABILITY,Disability,BIODIVERSITY,Biodiversity,CLIMATE_MITIGATION,Climate mitigation,CLIMATE_ADAPTATION,Climate adaptation,DESERTIFICATION,Desertification,AMOUNT_TIED,Amount tied,AMOUNT_UNTIED,Amount untied,AMOUNT_PARTIALLY_UNTIED,Amount partially untied,NATURE_OF_SUBMISSION,Nature of submission,PSIFLAG_CODE,PSI flag,PSIFLAG_NAME,PSI Flag name
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","SFRY_X","States ex-Yugoslavia unspecified","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",4.815315,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","TUN","Tunisia","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",982.3078,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","DZA","Algeria","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",190.362936,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","E_X","Europe unspecified","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",542.587188,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","LBY","Libya","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",240.663847,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","EGY","Egypt","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",1023.591697,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","MAR","Morocco","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",1522.22811,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","ZAF","South Africa","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",1253.611398,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","F4_X","Northern Africa unspecified","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",241.896484,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","BDI","Burundi","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",223.038643,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","TCD","Chad","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",301.763629,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","AGO","Angola","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",93.326761,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","CMR","Cameroon","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",645.733036,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","COM","Comoros","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",34.74037,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","BWA","Botswana","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",80.789912,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","COG","Congo","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",103.550791,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","CPV","Cabo Verde","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",44.491534,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","COD","Democratic Republic of the Congo","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",1776.696135,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","BEN","Benin","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",401.229673,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","CAF","Central African Republic","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",354.940456,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","GAB","Gabon","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",64.266479,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","ETH","Ethiopia","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",2614.804757,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","GMB","Gambia","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",44.144966,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","GHA","Ghana","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",638.06782,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","KEN","Kenya","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",1736.974676,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","MDG","Madagascar","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",358.397582,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","MLI","Mali","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",846.47477,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","GIN","Guinea","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",162.010975,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","MWI","Malawi","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",729.908983,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","LSO","Lesotho","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",99.166908,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","MRT","Mauritania","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",113.178714,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","LBR","Liberia","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",334.438255,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","MUS","Mauritius","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",394.233058,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","MOZ","Mozambique","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",1331.430265,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","GNB","Guinea-Bissau","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",35.89104,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","STP","Sao Tome and Principe","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",19.139951,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","ZWE","Zimbabwe","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",635.022434,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD.DCD.FSD:DSD_CRS@DF_CRS(1.5),"CRS: Creditor Reporting System (flows) [cloud replica]",I,"DAC","DAC countries","GNQ","Equatorial Guinea","1000","All sectors","100","Official Development Assistance","_T","All channels","_T","All modalities","D","Disbursements","Q","Constant prices","_T","Aggregate","0",,"USD","US dollar",2020,"2020",4.918413,,2023,,"A","Normal value","6","Millions","3","Three",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
