subsection|variable_name|year_from|year_to|polity_name|polity_new_ID|polity_old_ID|value_from|value_to|confidence|is_disputed|is_uncertain|expert_checked|DRB_reviewed
Social Scale|polity_territory|-1400|-500|Early Xiongnu|mn_hunnu_early|MnXngnE|350000|700000|Confident|False|False|True|
Social Scale|polity_territory|-1350|-1294|Egypt - New Kingdom Thutmosid Period|eg_new_k_1|EgNKThu|1000000|1000000|Confident|False|False|True|
Social Scale|polity_territory|-1300|-1300|Hatti - New Kingdom|tr_hatti_new_k|TrHatNK|250000|350000|Confident|False|False|True|
Social Scale|polity_territory|-1293|-1293|Egypt - New Kingdom Ramesside Period|eg_new_k_2|EgNKRam|1000000|1000000|Confident|False|False|True|
Social Scale|polity_territory|-1200|-1200|Hatti - New Kingdom|tr_hatti_new_k|TrHatNK|300000|400000|Confident|False|False|True|
Social Scale|polity_territory|-1200|-1200|Egypt - New Kingdom Ramesside Period|eg_new_k_2|EgNKRam|746000|746000|Confident|False|False|True|
Social Scale|polity_territory|-1100|-1100|Egypt - New Kingdom Ramesside Period|eg_new_k_2|EgNKRam|567000|567000|Confident|False|False|True|
Social Scale|polity_territory|-1100|-1100|Western Zhou|cn_western_zhou_dyn|CnWZhou|850000|850000|Confident|False|False|True|
Social Scale|polity_territory|-1000|-1000|Western Zhou|cn_western_zhou_dyn|CnWZhou|850000|850000|Confident|False|False|True|
Social Scale|polity_territory|-900|-900|Western Zhou|cn_western_zhou_dyn|CnWZhou|850000|850000|Confident|False|False|True|
Social Scale|polity_territory|-800|-800|Western Zhou|cn_western_zhou_dyn|CnWZhou|850000|850000|Confident|False|False|True|
Social Scale|polity_territory|-700|-700|Chu Kingdom - Spring and Autumn Period|cn_chu_dyn_spring_autumn|CnChuSA|50000|70000|Confident|False|False|False|
Social Scale|polity_territory|-700|-700|Egypt - Kushite Period|eg_kushite|SdKusht|600000|700000|Confident|False|False|True|
Social Scale|polity_territory|-600|-600|Chu Kingdom - Spring and Autumn Period|cn_chu_dyn_spring_autumn|CnChuSA|370000|370000|Confident|False|False|False|
Social Scale|polity_territory|-600|-600|Kingdom of Lydia|tr_lydia_k|TrLydia|250000|250000|Confident|False|False|True|
Social Scale|polity_territory|-539|-501|Achaemenid Empire|ir_achaemenid_emp|IrAchae|2500000|4100000|Confident|False|False|True|
Social Scale|polity_territory|-500|-500|Early Roman Republic|it_roman_rep_1|ItRomER|1300|1300|Confident|False|False|True|
Social Scale|polity_territory|-500|-500|Chu Kingdom - Spring and Autumn Period|cn_chu_dyn_spring_autumn|CnChuSA|200000|300000|Confident|False|False|False|
Social Scale|polity_territory|-500|-451|Achaemenid Empire|ir_achaemenid_emp|IrAchae|4800000|5500000|Confident|False|False|True|
Social Scale|polity_territory|-450|-331|Achaemenid Empire|ir_achaemenid_emp|IrAchae|3800000|4325000|Confident|False|False|True|
Social Scale|polity_territory|-400|-400|La Tene A-B1|fr_la_tene_a_b1|FrTeneA|1250|1250|Confident|False|False|True|
Social Scale|polity_territory|-400|-400|Early Roman Republic|it_roman_rep_1|ItRomER|1300|1300|Confident|False|False|True|
Social Scale|polity_territory|-400|-300|Early Xiongnu|mn_hunnu_early|MnXngnE|700000|1400000|Confident|False|False|True|
Social Scale|polity_territory|-359|-359|Macedonian Empire|gr_macedonian_emp|GrMaced|10000|10000|Confident|False|False|False|
Social Scale|polity_territory|-320|-320|Macedonian Empire|gr_macedonian_emp|GrMaced|5200000|5200000|Confident|False|False|False|
Social Scale|polity_territory|-312|-201|Seleucid Empire|ir_seleucid_emp|IrSeleu|3600000|3600000|Confident|False|False|True|
Social Scale|polity_territory|-300|-300|Early Roman Republic|it_roman_rep_1|ItRomER|5000|30000|Confident|False|False|True|
Social Scale|polity_territory|-300|-300|Macedonian Empire|gr_macedonian_emp|GrMaced|4400000|4400000|Confident|False|False|False|
Social Scale|polity_territory|-300|-300|La Tene B2-C1|fr_la_tene_b2_c1|FrTeneB|1250|1250|Confident|False|False|True|
Social Scale|polity_territory|-300|-300|Lysimachus Kingdom|tr_lysimachus_k|TrLysim|420000|420000|Confident|False|False|True|
Social Scale|polity_territory|-290|-290|Qin Empire|cn_qin_emp|CnImQin|340000|340000|Confident|False|False|False|
Social Scale|polity_territory|-270|-270|Qin Empire|cn_qin_emp|CnImQin|820000|820000|Confident|False|False|False|
Social Scale|polity_territory|-250|-250|Qin Empire|cn_qin_emp|CnImQin|1300000|1300000|Confident|False|False|False|
Social Scale|polity_territory|-230|-230|Qin Empire|cn_qin_emp|CnImQin|1967000|1967000|Confident|False|False|False|
Social Scale|polity_territory|-210|-210|Qin Empire|cn_qin_emp|CnImQin|2433000|2433000|Confident|False|False|False|
Social Scale|polity_territory|-200|-200|Western Han Empire|cn_western_han_dyn|CnWHan*|2433000|2433000|Confident|False|False|True|
Social Scale|polity_territory|-200|-200|La Tene B2-C1|fr_la_tene_b2_c1|FrTeneB|1250|1250|Confident|False|False|True|
Social Scale|polity_territory|-200|-200|Ptolemaic Kingdom II|eg_ptolemaic_k_2|EgPtol2|833000|833000|Confident|False|False|True|
Social Scale|polity_territory|-200|-200|Greco-Bactrian Kingdom|af_greco_bactrian_k|AfGrBct|600000|800000|Confident|False|False|True|
Social Scale|polity_territory|-200|-200|Parthian Empire I|ir_parthian_emp_1|IrPart1|280000|280000|Confident|False|False|True|
Social Scale|polity_territory|-200|-147|Seleucid Empire|ir_seleucid_emp|IrSeleu|2300000|475000|Confident|False|False|True|
Social Scale|polity_territory|-180|-180|Greco-Bactrian Kingdom|af_greco_bactrian_k|AfGrBct|2200000|2200000|Confident|False|False|True|
Social Scale|polity_territory|-150|-150|Ptolemaic Kingdom II|eg_ptolemaic_k_2|EgPtol2|640000|640000|Confident|False|False|True|
Social Scale|polity_territory|-100|-100|Ptolemaic Kingdom II|eg_ptolemaic_k_2|EgPtol2|373000|373000|Confident|False|False|True|
Social Scale|polity_territory|-100|-100|Western Han Empire|cn_western_han_dyn|CnWHan*|4567000|4567000|Confident|False|False|True|
Social Scale|polity_territory|-100|-100|La Tene C2-D|fr_la_tene_c2_d|FrTeneC|15000|15000|Confident|False|False|True|
Social Scale|polity_territory|-100|-100|Parthian Empire I|ir_parthian_emp_1|IrPart1|2000000|2000000|Confident|False|False|True|
Social Scale|polity_territory|-100|99|Satavahana Empire|in_satavahana_emp|InSataL|1200000|1400000|Confident|False|False|True|
Social Scale|polity_territory|-50|-50|Ptolemaic Kingdom II|eg_ptolemaic_k_2|EgPtol2|107000|107000|Confident|False|False|True|
Social Scale|polity_territory|1|1|Western Han Empire|cn_western_han_dyn|CnWHan*|4917000|4917000|Confident|False|False|True|
Social Scale|polity_territory|1|1|Roman Empire - Principate|it_roman_principate|ItRomPr|4500000|4500000|Confident|False|False|True|
Social Scale|polity_territory|1|1|Parthian Empire I|ir_parthian_emp_1|IrPart1|3000000|3000000|Confident|False|False|True|
Social Scale|polity_territory|100|100|Eastern Han Empire|cn_eastern_han_dyn|CnEHan*|6500000|6500000|Confident|False|False|True|
Social Scale|polity_territory|100|100|Kushan Empire|af_kushan_emp|AfKushn|2000000|2500000|Confident|False|False|True|
Social Scale|polity_territory|100|100|Parthian Empire II|iq_parthian_emp_2|IrPart2|1900000|1900000|Confident|False|False|True|
Social Scale|polity_territory|100|100|Roman Empire - Principate|it_roman_principate|ItRomPr|5800000|5800000|Confident|False|False|True|
Social Scale|polity_territory|100|200|Satavahana Empire|in_satavahana_emp|InSataL|1400000|1600000|Confident|False|False|False|False
Social Scale|polity_territory|120|120|Eastern Han Empire|cn_eastern_han_dyn|CnEHan*|5344000|5344000|Confident|False|False|True|
Social Scale|polity_territory|140|140|Eastern Han Empire|cn_eastern_han_dyn|CnEHan*|4633000|4633000|Confident|False|False|True|
Social Scale|polity_territory|160|160|Eastern Han Empire|cn_eastern_han_dyn|CnEHan*|3922000|3922000|Confident|False|False|True|
Social Scale|polity_territory|180|180|Eastern Han Empire|cn_eastern_han_dyn|CnEHan*|3211000|3211000|Confident|False|False|True|
Social Scale|polity_territory|200|200|Kushan Empire|af_kushan_emp|AfKushn|2000000|2500000|Confident|False|False|True|
Social Scale|polity_territory|200|200|Cuzco - Early Intermediate I|pe_cuzco_2|PeCuzE1|600|800|Confident|False|False|True|
Social Scale|polity_territory|200|200|Roman Empire - Principate|it_roman_principate|ItRomPr|5000000|5000000|Confident|False|False|True|
Social Scale|polity_territory|200|200|Parthian Empire II|iq_parthian_emp_2|IrPart2|1800000|1800000|Confident|False|False|True|
Social Scale|polity_territory|200|200|Eastern Han Empire|cn_eastern_han_dyn|CnEHan*|2500000|2500000|Confident|False|False|True|
Social Scale|polity_territory|220|300|Sasanid Empire I|ir_sassanid_emp_1|IrSasn1|2600000|2700000|Confident|False|False|True|
Social Scale|polity_territory|275|275|Roman Empire - Principate|it_roman_principate|ItRomPr|4750000|4750000|Confident|False|False|True|
Social Scale|polity_territory|300|300|Western Jin|cn_western_jin_dyn|CnErJin|4500000|4500000|Confident|False|False|True|
Social Scale|polity_territory|300|300|Cuzco - Early Intermediate I|pe_cuzco_2|PeCuzE1|600|800|Confident|False|False|True|
Social Scale|polity_territory|301|487|Sasanid Empire I|ir_sassanid_emp_1|IrSasn1|3100000|3200000|Confident|False|False|True|False
Social Scale|polity_territory|400|400|East Roman Empire|tr_east_roman_emp|TrERom*|1300000|1300000|Confident|False|False|True|
Social Scale|polity_territory|400|400|Cuzco - Early Intermediate I|pe_cuzco_2|PeCuzE1|1000|1000|Confident|False|False|True|
Social Scale|polity_territory|400|400|Western Roman Empire - Late Antiquity|it_western_roman_emp|ItRomWe|2000000|2000000|Confident|False|False|True|
Social Scale|polity_territory|400|400|Northern Wei|cn_northern_wei_dyn|CnNWei*|500000|500000|Confident|False|False|True|
Social Scale|polity_territory|400|400|Kidarite Kingdom|af_kidarite_k|AfKidar|250000|250000|Confident|False|False|True|
Social Scale|polity_territory|450|450|Hephthalite Empire|af_hephthalite_emp|AfHepht|1000000|1000000|Confident|False|False|True|
Social Scale|polity_territory|450|450|Kidarite Kingdom|af_kidarite_k|AfKidar|850000|900000|Confident|False|False|True|
Social Scale|polity_territory|499|540|Sasanid Empire II|ir_sassanid_emp_2|IrSasn2|3450000|3500000|Confident|False|False|True|
Social Scale|polity_territory|500|500|Hephthalite Empire|af_hephthalite_emp|AfHepht|2750000|3000000|Confident|False|False|True|
Social Scale|polity_territory|500|500|East Roman Empire|tr_east_roman_emp|TrERom*|1300000|1500000|Confident|False|False|True|
Social Scale|polity_territory|500|500|Northern Wei|cn_northern_wei_dyn|CnNWei*|1773000|1773000|Confident|False|False|True|
Social Scale|polity_territory|600|600|Sui Dynasty|cn_sui_dyn|CnSui**|3000000|3100000|Confident|False|False|True|
Social Scale|polity_territory|600|600|East Roman Empire|tr_east_roman_emp|TrERom*|1400000|1900000|Confident|False|False|True|
Social Scale|polity_territory|600|600|Avar Khaganate|hu_avar_khaganate|HuAvarK|2750000|2750000|Confident|True|False|False|False
Social Scale|polity_territory|600|600|Sasanid Empire II|ir_sassanid_emp_2|IrSasn2|2600000|2960000|Confident|False|False|True|
Social Scale|polity_territory|600|600|Middle Merovingian|fr_merovingian_emp_2|FrMervM|230000|230000|Confident|False|False|True|
Social Scale|polity_territory|600|600|Western Turk Khaganate|kg_western_turk_khaganate|KgWTurk|2800000|3500000|Confident|False|False|True|
Social Scale|polity_territory|600|700|Axum III|et_aksum_emp_3|EtAksm3|300000|400000|Confident|False|False|False|
Social Scale|polity_territory|600|710|Asuka|jp_asuka|JpAsuka|100000|150000|Confident|False|False|True|
Social Scale|polity_territory|600||Avar Khaganate|hu_avar_khaganate|HuAvarK|1200000|1200000|Confident|True|False|False|False
Social Scale|polity_territory|620|620|Tang Dynasty I|cn_tang_dyn_1|CnTangE|6225000|6225000|Confident|False|False|True|
Social Scale|polity_territory|630|630|Tang Dynasty I|cn_tang_dyn_1|CnTangE|6350000|6350000|Confident|False|False|True|
Social Scale|polity_territory|632|632|Byzantine Empire I|tr_byzantine_emp_1|TrByzM1|1500000|2000000|Confident|False|False|True|
Social Scale|polity_territory|640|640|Tang Dynasty I|cn_tang_dyn_1|CnTangE|6475000|6475000|Confident|False|False|True|
Social Scale|polity_territory|650|650|Tang Dynasty I|cn_tang_dyn_1|CnTangE|3600000|3600000|Confident|False|False|True|
Social Scale|polity_territory|660|660|Tang Dynasty I|cn_tang_dyn_1|CnTangE|4900000|4900000|Confident|False|False|True|
Social Scale|polity_territory|670|670|Tang Dynasty I|cn_tang_dyn_1|CnTangE|3900000|3900000|Confident|False|False|True|
Social Scale|polity_territory|680|680|Tang Dynasty I|cn_tang_dyn_1|CnTangE|4400000|4400000|Confident|False|False|True|
Social Scale|polity_territory|690|690|Tang Dynasty I|cn_tang_dyn_1|CnTangE|4900000|4900000|Confident|False|False|True|
Social Scale|polity_territory|700|700|Umayyad Caliphate|sy_umayyad_cal|SyCalUm|9000000|9000000|Confident|False|False|True|
Social Scale|polity_territory|700|700|Bulgaria - Early|bg_bulgaria_early|BgErBlg|250000|250000|Confident|False|False|False|
Social Scale|polity_territory|700|700|Tang Dynasty I|cn_tang_dyn_1|CnTangE|5067000|5067000|Confident|False|False|True|
Social Scale|polity_territory|700|700|Byzantine Empire I|tr_byzantine_emp_1|TrByzM1|470000|700000|Confident|False|False|True|
Social Scale|polity_territory|710|710|Tang Dynasty I|cn_tang_dyn_1|CnTangE|5233000|5233000|Confident|False|False|True|
Social Scale|polity_territory|720|720|Tang Dynasty I|cn_tang_dyn_1|CnTangE|5400000|5400000|Confident|False|False|True|
Social Scale|polity_territory|730|730|Tang Dynasty I|cn_tang_dyn_1|CnTangE|5133000|5133000|Confident|False|False|True|
Social Scale|polity_territory|740|740|Tang Dynasty I|cn_tang_dyn_1|CnTangE|4867000|4867000|Confident|False|False|True|
Social Scale|polity_territory|750|750|Tang Dynasty I|cn_tang_dyn_1|CnTangE|4600000|4600000|Confident|False|False|True|
Social Scale|polity_territory|760|760|Tang Dynasty I|cn_tang_dyn_1|CnTangE|4100000|4100000|Confident|False|False|True|
Social Scale|polity_territory|770|770|Tang Dynasty II|cn_tang_dyn_2|CnTangL|3600000|3600000|Confident|False|False|True|
Social Scale|polity_territory|780|780|Tang Dynasty II|cn_tang_dyn_2|CnTangL|3350000|3350000|Confident|False|False|True|
Social Scale|polity_territory|790|790|Tang Dynasty II|cn_tang_dyn_2|CnTangL|3100000|3100000|Confident|False|False|True|
Social Scale|polity_territory|800|800|Tang Dynasty II|cn_tang_dyn_2|CnTangL|3243000|3243000|Confident|False|False|True|
Social Scale|polity_territory|800|800|Abbasid Caliphate I|iq_abbasid_cal_1|IqAbbs1|8300000|8300000|Confident|False|False|True|
Social Scale|polity_territory|800|800|Byzantine Empire I|tr_byzantine_emp_1|TrByzM1|520000|650000|Confident|False|False|True|
Social Scale|polity_territory|800|800|Axum III|et_aksum_emp_3|EtAksm3|50000|50000|Confident|False|False|False|
Social Scale|polity_territory|800|800|Bulgaria - Early|bg_bulgaria_early|BgErBlg|500000|500000|Confident|False|False|False|
Social Scale|polity_territory|810|810|Tang Dynasty II|cn_tang_dyn_2|CnTangL|3386000|3386000|Confident|False|False|True|
Social Scale|polity_territory|820|820|Tang Dynasty II|cn_tang_dyn_2|CnTangL|3529000|3529000|Confident|False|False|True|
Social Scale|polity_territory|830|830|Tang Dynasty II|cn_tang_dyn_2|CnTangL|3671000|3671000|Confident|False|False|True|
Social Scale|polity_territory|840|840|Tang Dynasty II|cn_tang_dyn_2|CnTangL|3814000|3814000|Confident|False|False|True|
Social Scale|polity_territory|850|850|Tang Dynasty II|cn_tang_dyn_2|CnTangL|3957000|3957000|Confident|False|False|True|
Social Scale|polity_territory|850|850|Carolingian Empire II|fr_carolingian_emp_2|FrCarlL|1200000|1200000|Confident|False|False|True|
Social Scale|polity_territory|860|860|Tang Dynasty II|cn_tang_dyn_2|CnTangL|4100000|4100000|Confident|False|False|True|
Social Scale|polity_territory|867|867|Byzantine Empire II|tr_byzantine_emp_2|TrByzM2|520000|520000|Confident|False|False|True|
Social Scale|polity_territory|870|870|Tang Dynasty II|cn_tang_dyn_2|CnTangL|3600000|3600000|Confident|False|False|True|
Social Scale|polity_territory|880|880|Tang Dynasty II|cn_tang_dyn_2|CnTangL|3100000|3100000|Confident|False|False|True|
Social Scale|polity_territory|890|890|Tang Dynasty II|cn_tang_dyn_2|CnTangL|2600000|2600000|Confident|False|False|True|
Social Scale|polity_territory|900|900|Carolingian Empire II|fr_carolingian_emp_2|FrCarlL|800000|800000|Confident|False|False|True|
Social Scale|polity_territory|900|900|Tang Dynasty II|cn_tang_dyn_2|CnTangL|1500000|1500000|Confident|False|False|True|
Social Scale|polity_territory|900|900|Abbasid Caliphate I|iq_abbasid_cal_1|IqAbbs1|1000000|1000000|Confident|False|False|True|
Social Scale|polity_territory|900|900|Bulgaria - Middle|bg_bulgaria_medieval|BgMdBlg|280000|280000|Confident|False|False|False|
Social Scale|polity_territory|900|900|Byzantine Empire II|tr_byzantine_emp_2|TrByzM2|610000|610000|Confident|False|False|True|
Social Scale|polity_territory|900|900|Samanid Empire|uz_samanid_emp|UzSamnd|600000|600000|Confident|False|False|True|
Social Scale|polity_territory|907|907|Tang Dynasty II|cn_tang_dyn_2|CnTangL|800000|800000|Confident|False|False|True|
Social Scale|polity_territory|908|908|Khitan I|mn_khitan_1|MnKhitn|1500000|2000000|Confident|False|False|True|
Social Scale|polity_territory|930|930|Samanid Empire|uz_samanid_emp|UzSamnd|2500000|2500000|Confident|False|False|True|
Social Scale|polity_territory|950|950|Carolingian Empire II|fr_carolingian_emp_2|FrCarlL|675000|675000|Confident|False|False|True|
Social Scale|polity_territory|1000|1000|Bulgaria - Middle|bg_bulgaria_medieval|BgMdBlg|330000|330000|Confident|False|False|False|
Social Scale|polity_territory|1000|1000|Rome - Republic of St Peter II|it_st_peter_rep_2|ItPapEM|14000|14000|Confident|False|False|True|
Social Scale|polity_territory|1000|1000|Fatimid Caliphate|tn_fatimid_cal|TnFatim|1400000|1400000|Confident|False|False|True|
Social Scale|polity_territory|1000|1000|Byzantine Empire II|tr_byzantine_emp_2|TrByzM2|810000|810000|Confident|False|False|True|
Social Scale|polity_territory|1000|1000|Northern Song|cn_northern_song_dyn|CnNSong|3033000|2900000|Confident|False|False|True|
Social Scale|polity_territory|1000|1000|Kara-Khanids|kg_kara_khanid_dyn|KgKarKh|2000000|2000000|Confident|False|False|True|
Social Scale|polity_territory|1000|1100|Khitan I|mn_khitan_1|MnKhitn|2000000|2500000|Confident|False|False|True|
Social Scale|polity_territory|1050|1050|Byzantine Empire II|tr_byzantine_emp_2|TrByzM2|1150000|1150000|Confident|False|False|True|
Social Scale|polity_territory|1050|1050|Holy Roman Empire - Ottonian-Salian Dynasty|de_empire_1|de_empire_1|1000000|1000000|Confident|False|False|False|False
Social Scale|polity_territory|1080||Byzantine Empire III|tr_byzantine_emp_3|TrByzM3|1115000|1115000|Confident|False|False|True|False
Social Scale|polity_territory|1090|1150|Byzantine Empire III|tr_byzantine_emp_3|TrByzM3|400000|750000|Confident|False|False|True|
Social Scale|polity_territory|1100|1100|Seljuk Sultanate|ir_seljuk_sultanate|IrSeljq|4000000|4500000|Confident|False|False|True|
Social Scale|polity_territory|1100|1100|Northern Song|cn_northern_song_dyn|CnNSong|2367000|2233000|Confident|False|False|True|
Social Scale|polity_territory|1100|1100|Rome - Republic of St Peter II|it_st_peter_rep_2|ItPapEM|6000|6000|Confident|False|False|True|
Social Scale|polity_territory|1100|1100|Fatimid Caliphate|tn_fatimid_cal|TnFatim|631000|631000|Confident|False|False|True|
Social Scale|polity_territory|1130|1130|Kingdom of Sicily - Hohenstaufen and Angevin dynasties|it_sicily_k_2|ItSicilK|30000|30000|Confident|False|False|False|
Social Scale|polity_territory|1144|1144|Kingdom of Sicily - Hohenstaufen and Angevin dynasties|it_sicily_k_2|ItSicilK|104004|104004|Confident|False|False|False|
Social Scale|polity_territory|1150|1150|Ghur Principality|af_ghur_principality|AfGhurd|60000|80000|Confident|False|False|True|
Social Scale|polity_territory|1150|1150|French Kingdom - Late Capetian|fr_capetian_k_2|FrCaptL|75000|75000|Confident|False|False|True|
Social Scale|polity_territory|1175|1175|Ghur Principality|af_ghur_principality|AfGhurd|900000|1100000|Confident|False|False|True|
Social Scale|polity_territory|1200|1200|Kakatiya Dynasty|in_kakatiya_dyn|InKakat|100000|100000|Confident|False|False|False|
Social Scale|polity_territory|1200|1200|Abbasid Caliphate II|iq_abbasid_cal_2|IqAbbs2|750000|750000|Confident|False|False|True|
Social Scale|polity_territory|1200|1200|French Kingdom - Late Capetian|fr_capetian_k_2|FrCaptL|80000|80000|Confident|False|False|True|
Social Scale|polity_territory|1200|1200|Ghur Principality|af_ghur_principality|AfGhurd|1600000|1700000|Confident|False|False|True|
Social Scale|polity_territory|1200|1200|Ayyubid Sultanate|eg_ayyubid_sultanate|EgAyyub|1500000|1690000|Confident|False|False|True|
Social Scale|polity_territory|1200|1200|Kara-Khanids|kg_kara_khanid_dyn|KgKarKh|1300000|1500000|Confident|False|False|True|
Social Scale|polity_territory|1200|1200|Byzantine Empire III|tr_byzantine_emp_3|TrByzM3|480000|600000|Confident|False|False|True|
Social Scale|polity_territory|1210|1210|Khwarezmid Empire|tm_khwarezmid_emp|TmKhwrz|2300000|2300000|Confident|False|False|False|
Social Scale|polity_territory|1218|1218|Khwarezmid Empire|tm_khwarezmid_emp|TmKhwrz|3600000|3600000|Confident|False|False|False|
Social Scale|polity_territory|1250|1250|French Kingdom - Late Capetian|fr_capetian_k_2|FrCaptL|330000|330000|Confident|False|False|True|
Social Scale|polity_territory|1300|1300|French Kingdom - Late Capetian|fr_capetian_k_2|FrCaptL|350000|350000|Confident|False|False|True|
Social Scale|polity_territory|1300|1300|Great Yuan|cn_yuan_dyn|CnYuan*|24000000|11000000|Confident|False|False|True|
Social Scale|polity_territory|1300|1300|Chagatai Khanate|uz_chagatai_khanate|UzChagt|3500000|3500000|Confident|False|False|True|
Social Scale|polity_territory|1310|1310|Golden Horde|ru_golden_horde|ru_golden_horde|6000000|6000000|Confident|False|False|False|
Social Scale|polity_territory|1320|1320|Ottoman Emirate|tr_ottoman_emirate|TrOttm1|18000|18000|Confident|False|False|True|
Social Scale|polity_territory|1340|1340|Ottoman Emirate|tr_ottoman_emirate|TrOttm1|52000|52000|Confident|False|False|True|
Social Scale|polity_territory|1350|1350|French Kingdom - Early Valois|fr_valois_k_1|FrValoE|390000|390000|Confident|False|False|True|
Social Scale|polity_territory|1360|1360|Ottoman Emirate|tr_ottoman_emirate|TrOttm1|70000|70000|Confident|False|False|True|
Social Scale|polity_territory|1378|1378|Kingdom of Bohemia - Luxembourgian and Jagiellonian Dynasty|cz_bohemian_k_2|cz_bohemian_k_2|125000|125000|Confident|False|False|False|
Social Scale|polity_territory|1380|1380|Ottoman Emirate|tr_ottoman_emirate|TrOttm1|260000|260000|Confident|False|False|True|
Social Scale|polity_territory|1400|1400|Timurid Empire|uz_timurid_emp|UzTimur|5500000|5500000|Confident|False|False|True|
Social Scale|polity_territory|1400|1400|French Kingdom - Early Valois|fr_valois_k_1|FrValoE|390000|390000|Confident|False|False|True|
Social Scale|polity_territory|1400|1400|Great Ming|cn_ming_dyn|CnMing*|3900000|3900000|Confident|False|False|True|
Social Scale|polity_territory|1400|1400|Ottoman Emirate|tr_ottoman_emirate|TrOttm1|690000|690000|Confident|False|False|True|
Social Scale|polity_territory|1420|1420|Ottoman Empire I|tr_ottoman_emp_1|TrOttm2|522000|522000|Confident|False|False|True|
Social Scale|polity_territory|1440|1440|Ottoman Empire I|tr_ottoman_emp_1|TrOttm2|633000|633000|Confident|False|False|True|
Social Scale|polity_territory|1450|1450|French Kingdom - Early Valois|fr_valois_k_1|FrValoE|340000|340000|Confident|False|False|True|
Social Scale|polity_territory|1460|1460|Ottoman Empire I|tr_ottoman_emp_1|TrOttm2|866000|866000|Confident|False|False|True|
Social Scale|polity_territory|1478|1478|Grand Principality of Moscow, Rurikid Dynasty|ru_moskva_rurik_dyn|RuMoskva|1240000|1240000|Confident|False|False|False|
Social Scale|polity_territory|1480|1480|Ottoman Empire I|tr_ottoman_emp_1|TrOttm2|1220000|1220000|Confident|False|False|True|
Social Scale|polity_territory|1487|1487|Grand Principality of Moscow, Rurikid Dynasty|ru_moskva_rurik_dyn|RuMoskva|1570000|1570000|Confident|False|False|False|
Social Scale|polity_territory|1500|1500|Malacca Sultanate|my_malacca_sultanate|MySultM|200000|225000|Confident|False|False|False|
Social Scale|polity_territory|1500|1500|Ottoman Empire I|tr_ottoman_emp_1|TrOttm2|2310000|2310000|Confident|False|False|True|
Social Scale|polity_territory|1500|1500|Great Ming|cn_ming_dyn|CnMing*|3900000|5200000|Confident|False|False|True|
Social Scale|polity_territory|1500|1500|Ak Koyunlu|ir_ak_koyunlu|IrAkKoy|1800000|1800000|Confident|False|False|True|
Social Scale|polity_territory|1500|1500|Bengal Sultanate|bd_bengal_sultanate|BdBengl|144000|144000|Confident|False|False|False|
Social Scale|polity_territory|1505|1505|Grand Principality of Moscow, Rurikid Dynasty|ru_moskva_rurik_dyn|RuMoskva|2500000|2500000|Confident|False|False|False|
Social Scale|polity_territory|1516|1516|Leon & Castille|es_leon_castille|EsLeCas|380000|380000|Confident|False|False|False|
Social Scale|polity_territory|1554|1591|Saadi Sultanate|ma_saadi_sultanate|MaSaadi|447000|447000|Confident|False|False|True|
Social Scale|polity_territory|1584|1584|Grand Principality of Moscow, Rurikid Dynasty|ru_moskva_rurik_dyn|RuMoskva|5100000|5100000|Confident|False|False|False|False
Social Scale|polity_territory|1591|1618|Saadi Sultanate|ma_saadi_sultanate|MaSaadi|476000|476000|Confident|False|False|True|
